,season_name,player,team,matches_played,goals,shots,xg,passes,completed_passes,key_passes,tackles,interceptions,recoveries,aerial_duels,fouls,yellow_cards,red_cards,dribbles_attempted,successful_dribbles,minutes_played,position,goals_p90,shots_p90,passes_p90,completed_passes_p90,key_passes_p90,tackles_p90,interceptions_p90,recoveries_p90,aerial_duels_p90,fouls_p90,dribbles_attempted_p90,successful_dribbles_p90,xg_p90,attempted_pass,pass_completion_pct,attempted_dribble,dribble_success_pct,took_shot,shot_conversion,xg_overperformance,position_group,yellow_cards_p90,red_cards_p90
1169,2022,Mateo Kovačić,Croatia,7,0,3,0.35,456,416,9,27,8,32,4,3,1,0,14,10,647,Left Center Midfield,0.0,0.41731066460587324,63.431221020092735,57.867078825347754,1.2519319938176197,3.7557959814528594,1.1128284389489953,4.451313755795981,0.5564142194744977,0.41731066460587324,1.947449768160742,1.3910355486862442,0.04868624420401854,1,0.9122807017543859,1,0.7142857142857143,1,0.0,-0.35,Midfielder,0.1391035548686244,0.0
1170,2022,Mason Mount,England,4,0,4,0.18,74,64,1,8,1,7,0,8,0,0,4,3,347,Center Attacking Midfield,0.0,1.037463976945245,19.19308357348703,16.59942363112392,0.25936599423631124,2.07492795389049,0.25936599423631124,1.8155619596541785,0.0,2.07492795389049,1.037463976945245,0.7780979827089337,0.04668587896253602,1,0.8648648648648649,1,0.75,1,0.0,-0.18,Midfielder,0.0,0.0
1171,2022,Martin Hongla Yma II,Cameroon,2,0,1,0.08,64,52,2,0,3,3,0,1,0,0,2,2,121,Left Center Midfield,0.0,0.743801652892562,47.603305785123965,38.67768595041322,1.487603305785124,0.0,2.2314049586776856,2.2314049586776856,0.0,0.743801652892562,1.487603305785124,1.487603305785124,0.05950413223140495,1,0.8125,1,1.0,1,0.0,-0.08,Midfielder,0.0,0.0
1172,2022,Mohamed Dräger,Tunisia,2,0,4,0.3,51,35,1,5,3,4,1,3,0,0,4,2,136,Right Wing Back,0.0,2.6470588235294117,33.75,23.161764705882355,0.6617647058823529,3.308823529411765,1.9852941176470589,2.6470588235294117,0.6617647058823529,1.9852941176470589,2.6470588235294117,1.3235294117647058,0.19852941176470587,1,0.6862745098039216,1,0.5,1,0.0,-0.3,Defender,0.0,0.0
1173,2022,Min Jae Kim,South Korea,3,0,2,0.11,187,165,0,5,4,12,0,0,0,0,1,1,280,Right Center Back,0.0,0.6428571428571428,60.107142857142854,53.035714285714285,0.0,1.6071428571428572,1.2857142857142856,3.857142857142857,0.0,0.0,0.3214285714285714,0.3214285714285714,0.03535714285714286,1,0.8823529411764706,1,1.0,1,0.0,-0.11,Defender,0.0,0.0
1174,2022,Miloš Degenek,Australia,4,0,0,0.0,97,69,0,10,0,7,0,2,2,0,3,1,356,Right Back,0.0,0.0,24.52247191011236,17.4438202247191,0.0,2.528089887640449,0.0,1.7696629213483146,0.0,0.5056179775280899,0.7584269662921348,0.25280898876404495,0.0,1,0.711340206185567,1,0.3333333333333333,0,0.0,0.0,Defender,0.5056179775280899,0.0
1175,2022,Milos Veljkovic,Serbia,3,0,0,0.0,112,99,0,6,0,4,0,1,0,0,0,0,227,Center Back,0.0,0.0,44.40528634361234,39.25110132158591,0.0,2.378854625550661,0.0,1.5859030837004406,0.0,0.39647577092511016,0.0,0.0,0.0,1,0.8839285714285714,0,0.0,0,0.0,0.0,Defender,0.0,0.0
1176,2022,Milan Borjan,Canada,3,0,0,0.0,96,75,0,0,0,19,0,0,0,0,0,0,280,Goalkeeper,0.0,0.0,30.857142857142858,24.107142857142858,0.0,0.0,0.0,6.107142857142857,0.0,0.0,0.0,0.0,0.0,1,0.78125,0,0.0,0,0.0,0.0,Goalkeeper,0.0,0.0
1177,2022,Milad Mohammadi,Iran,3,0,0,0.0,66,45,0,10,3,4,1,3,0,0,3,1,208,Left Back,0.0,0.0,28.55769230769231,19.471153846153847,0.0,4.3269230769230775,1.2980769230769231,1.7307692307692308,0.4326923076923077,1.2980769230769231,1.2980769230769231,0.4326923076923077,0.0,1,0.6818181818181818,1,0.3333333333333333,0,0.0,0.0,Defender,0.0,0.0
1178,2022,Mikkel Damsgaard,Denmark,3,0,0,0.0,71,57,3,5,2,7,0,2,0,0,0,0,261,Left Wing,0.0,0.0,24.482758620689655,19.655172413793103,1.0344827586206897,1.7241379310344829,0.6896551724137931,2.413793103448276,0.0,0.6896551724137931,0.0,0.0,0.0,1,0.8028169014084507,0,0.0,0,0.0,0.0,Forward,0.0,0.0
1179,2022,Michel Aebischer,Switzerland,1,0,0,0.0,4,2,0,0,0,0,0,1,0,0,0,0,94,Center Attacking Midfield,0.0,0.0,3.829787234042553,1.9148936170212765,0.0,0.0,0.0,0.0,0.0,0.9574468085106382,0.0,0.0,0.0,1,0.5,0,0.0,0,0.0,0.0,Midfielder,0.0,0.0
1180,2022,Michał Skóraś,Poland,1,0,1,0.03,9,8,0,0,1,0,0,1,0,0,0,0,93,Right Midfield,0.0,0.9677419354838709,8.709677419354838,7.741935483870967,0.0,0.0,0.9677419354838709,0.0,0.0,0.9677419354838709,0.0,0.0,0.029032258064516123,1,0.8888888888888888,0,0.0,1,0.0,-0.03,Midfielder,0.0,0.0
